,Fertility,Meat consumption,Regional indicator
0,4.5,17.3,South Asia
1,3.0,18.3,Middle East and North Africa
2,2.3,79.7,Latin America and Caribbean
3,1.8,27.7,Commonwealth of Independent States
4,1.7,108.2,North America and ANZ
5,1.5,94.1,Western Europe
6,1.7,15.9,Commonwealth of Independent States
7,2.0,70.7,Middle East and North Africa
8,2.0,3.1,South Asia
9,1.4,58.6,Commonwealth of Independent States
10,1.6,86.1,Western Europe
11,4.8,16.2,Sub-Saharan Africa
12,2.7,50.0,Latin America and Caribbean
13,1.3,21.4,Central and Eastern Europe
14,2.9,27.3,Sub-Saharan Africa
15,1.7,82.4,Latin America and Caribbean
16,1.6,69.4,Central and Eastern Europe
17,5.2,11.2,Sub-Saharan Africa
18,5.4,3.5,Sub-Saharan Africa
19,2.5,13.9,Southeast Asia
20,4.6,14.4,Sub-Saharan Africa
21,1.5,108.1,North America and ANZ
22,4.7,28.0,Sub-Saharan Africa
23,5.7,14.3,Sub-Saharan Africa
24,1.6,66.4,Latin America and Caribbean
25,1.7,52.4,East Asia
26,1.8,33.9,Latin America and Caribbean
27,4.2,7.6,Sub-Saharan Africa
28,1.8,40.4,Latin America and Caribbean
29,1.5,49.9,Central and Eastern Europe
30,1.3,131.3,Western Europe
31,1.7,77.3,Central and Eastern Europe
32,1.7,145.9,Western Europe
33,2.3,37.8,Latin America and Caribbean
34,2.4,45.0,Latin America and Caribbean
35,3.3,22.5,Middle East and North Africa
36,2.0,21.4,Latin America and Caribbean
37,1.7,67.4,Central and Eastern Europe
38,4.2,7.9,Sub-Saharan Africa
39,1.4,67.4,Western Europe
40,1.9,101.1,Western Europe
41,4.0,46.0,Sub-Saharan Africa
42,2.1,26.0,Commonwealth of Independent States
43,1.6,82.1,Western Europe
44,3.9,9.9,Sub-Saharan Africa
45,1.4,78.7,Western Europe
46,2.9,23.8,Latin America and Caribbean
47,4.7,6.5,Sub-Saharan Africa
48,4.7,6.5,Sub-Saharan Africa
49,4.7,6.5,Sub-Saharan Africa
50,4.7,6.5,Sub-Saharan Africa
51,4.7,6.5,Sub-Saharan Africa
52,4.7,6.5,Sub-Saharan Africa
53,4.7,6.5,Sub-Saharan Africa
54,4.7,6.5,Sub-Saharan Africa
55,4.7,6.5,Sub-Saharan Africa
56,4.7,6.5,Sub-Saharan Africa
57,4.7,6.5,Sub-Saharan Africa
58,4.7,6.5,Sub-Saharan Africa
59,4.7,6.5,Sub-Saharan Africa
60,4.7,6.5,Sub-Saharan Africa
